name,delta_d,delta_p,delta_h,molar_volume_cm3_mol,delta_t,key
Acetaldehyde,14.7,12.5,7.9,56.6,20.850659461993043,1
Acetamide,17.3,18.7,22.4,60.8,33.92255886574596,1
Acetone,15.5,10.4,7.0,74.0,19.93514484522247,1
Acetonitrile,15.3,18.0,6.1,52.6,24.398770460824455,1
Acrolein,15.0,7.2,7.8,66.7,18.376071397336265,1
Ammonia,13.7,15.7,17.8,20.8,27.404744114842597,1
Aniline,19.4,5.1,10.2,91.5,22.503555274667157,1
Azidoethane Azido-ethane,15.9,8.9,12.9,79.0,22.325545905979542,1
Benzaldehyde,19.4,7.4,5.3,101.5,21.429185705481203,1
Benzoic acid,18.2,6.9,9.8,113.1,21.791970998512273,1
Benzonitrile,17.4,9.0,3.3,102.6,19.865799757371963,1
Borine Carbonyl,17.0,10.2,6.9,41.8,20.99166501257106,1
Butane,14.1,0.0,0.0,101.4,14.1,1
Butyric acid,14.9,4.1,10.6,110.0,18.7397972240897,1
Chlorine,17.3,10.0,0.0,46.0,19.982242116439288,1
m-Cresol 3-Methyl-phenol,18.0,5.1,12.9,104.7,22.72487623728675,1
Cyclohexane,16.8,0.0,0.2,108.7,16.801190434013897,1
Cyclohexanol,17.4,4.1,13.5,106.0,22.40133924567904,1
Cyclopentane,16.4,0.0,1.8,94.9,16.498484778912275,1
Cyclopentene,16.7,3.8,1.7,89.0,17.211042966653704,1
Cyclopropene,17.2,2.4,2.0,50.0,17.481418706729723,1
Cyclopropane,17.6,0.0,0.0,58.3,17.6,1
Decane,15.7,0.0,0.0,195.9,15.7,1
Dihydrogen Disulfid,17.3,6.3,10.7,49.6,21.29483505453846,1
Ethanol,15.8,8.8,19.4,58.5,26.522443326360413,1
Ethyl Acetylene But-1-yne,15.1,3.4,5.0,81.5,16.26560788903999,1
Ethyl Amine Ethylamine,15.0,5.6,10.7,65.6,19.25746608461248,1
Ethylene Oxide Oxirane,15.6,10.0,11.0,49.9,21.549013898552296,1
Ethylene Sulfid Thiirane,19.3,9.0,6.5,59.5,22.265219513851644,1
Formaldehyde,12.8,14.4,15.4,36.8,24.664954895559816,1
Furan,17.8,1.8,5.3,72.5,18.65931402812011,1
Heptane,15.3,0.0,0.0,147.4,15.3,1
Hexamethylphosphoramide,18.5,8.6,11.3,175.7,23.321663748540754,1
Hydrazine,14.2,8.3,8.9,32.1,18.70133685061044,1
Hydrogen Sulfid,17.9,6.0,10.2,36.1,21.45809870421888,1
Isobutylene Isobutene,14.5,2.0,1.5,89.4,14.713938969562161,1
Isoxazole,18.8,13.4,11.2,64.1,25.660085736411716,1
Ketene Ethenone,15.4,7.3,5.8,53.0,18.002499826412997,1
Mesitylene,18.0,0.0,0.6,139.8,18.009997223764362,1
Methanol,15.1,12.3,22.3,40.7,29.607262622539086,1
Morpholine,18.8,4.9,9.2,87.1,21.496278747727477,1
Naphtha.High-Flash,17.9,0.7,1.8,181.8,18.003888468883602,1
Naphthalene,19.2,2.0,5.9,111.5,20.185390756683407,1
Nitroethane Nitro-ethane,16.0,15.5,4.5,71.5,22.726636354727024,1
Nitromethane,15.8,18.8,5.1,54.3,25.081666611292004,1
