polymer_name,delta_d_polymer,delta_p_polymer,delta_h_polymer,r0_polymer,solvent_name,delta_d_solvent,delta_p_solvent,delta_h_solvent,molar_volume_cm3_mol,red_value,compatible
Polyethylene (PE),16.9,3.3,4.1,8.1,Acetaldehyde,14.7,12.5,7.9,56.6,1.3436,0
Polyethylene (PE),16.9,3.3,4.1,8.1,Acetaldoxime,16.3,4.0,20.2,61.2,1.995,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Acetamide,17.3,18.7,22.4,60.8,2.9544,0
Polyethylene (PE),16.9,3.3,4.1,8.1,Acetanilide,20.6,13.3,12.4,110.9,1.8463,0
Polyethylene (PE),16.9,3.3,4.1,8.1,Acetic Acid,14.5,8.0,13.5,57.1,1.4264,0
Polyethylene (PE),16.9,3.3,4.1,8.1,Acetic Anhydride,16.0,11.7,10.2,94.5,1.3008,0
Polyethylene (PE),16.9,3.3,4.1,8.1,Acetone,15.5,10.4,7.0,74.0,1.008,0
Polyethylene (PE),16.9,3.3,4.1,8.1,Acetonemethyloxime,14.7,4.6,4.6,96.7,0.5698,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Acetonitrile,15.3,18.0,6.1,52.6,1.8737,0
Polyethylene (PE),16.9,3.3,4.1,8.1,Acetoxime,16.3,3.7,10.9,80.2,0.8539,1
Polyethylene (PE),16.9,3.3,4.1,8.1,"Acetoxy-1,3-butadiene",16.1,4.4,8.3,118.4,0.5712,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Acetylacetone,16.1,11.2,6.2,103.0,1.0283,0
Polyethylene (PE),16.9,3.3,4.1,8.1,Acetylbromide,16.7,10.6,5.2,74.0,0.9127,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Acetylchloride,16.2,11.2,5.8,71.4,1.0125,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Acetylene (Ethyne),14.4,4.2,11.9,42.1,1.1492,0
Polyethylene (PE),16.9,3.3,4.1,8.1,Acetylfluorid,14.7,14.0,5.7,62.0,1.4419,0
Polyethylene (PE),16.9,3.3,4.1,8.1,Acridine,21.7,5.9,2.0,163.0,1.255,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Acrolein,15.0,7.2,7.8,66.7,0.8128,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Acrylamide,15.8,12.1,12.8,63.4,1.5517,0
Polyethylene (PE),16.9,3.3,4.1,8.1,Acrylic Acid,17.7,6.4,14.9,68.5,1.4012,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Acrylonitrile,16.0,12.8,6.8,67.1,1.2394,0
Polyethylene (PE),16.9,3.3,4.1,8.1,Acrylylchloride,16.2,11.6,5.4,81.3,1.0515,0
Polyethylene (PE),16.9,3.3,4.1,8.1,"Adipic Acid (1,6-Hexanedioic)",17.1,9.0,14.6,107.5,1.4758,0
Polyethylene (PE),16.9,3.3,4.1,8.1,Allyl Acetate,15.7,4.5,8.0,108.5,0.5844,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Allyl Acetic Acid,16.7,4.7,11.3,102.1,0.9069,0
Polyethylene (PE),16.9,3.3,4.1,8.1,Allyl Acetonitrile (4-Pentenenitrile),16.3,11.2,5.0,98.5,0.9927,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Allyl Alcohol,16.2,10.8,16.8,68.4,1.8291,0
Polyethylene (PE),16.9,3.3,4.1,8.1,Allyl Amine,15.5,5.7,10.6,74.9,0.9226,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Allyl Cyanide,16.0,14.3,5.6,80.5,1.3885,0
Polyethylene (PE),16.9,3.3,4.1,8.1,Allyl Formate,15.7,5.4,8.8,91.0,0.7012,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Allyl Mercaptan,16.4,6.2,7.9,80.2,0.6029,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Amino Pyridine,20.4,8.1,12.2,94.1,1.4484,0
Polyethylene (PE),16.9,3.3,4.1,8.1,Amyl Acetate,15.8,3.3,6.1,148.0,0.3671,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Aniline,19.4,5.1,10.2,91.5,0.9988,0
