delta_d_solvent,delta_p_solvent,delta_h_solvent,molar_volume_cm3_mol,delta_d_polymer,delta_p_polymer,delta_h_polymer,compatible
14.7,12.5,7.9,56.6,16.9,3.3,4.1,0
16.3,4.0,20.2,61.2,16.9,3.3,4.1,1
17.3,18.7,22.4,60.8,16.9,3.3,4.1,0
20.6,13.3,12.4,110.9,16.9,3.3,4.1,0
14.5,8.0,13.5,57.1,16.9,3.3,4.1,0
16.0,11.7,10.2,94.5,16.9,3.3,4.1,0
15.5,10.4,7.0,74.0,16.9,3.3,4.1,0
14.7,4.6,4.6,96.7,16.9,3.3,4.1,1
15.3,18.0,6.1,52.6,16.9,3.3,4.1,0
16.3,3.7,10.9,80.2,16.9,3.3,4.1,1
16.1,4.4,8.3,118.4,16.9,3.3,4.1,1
16.1,11.2,6.2,103.0,16.9,3.3,4.1,0
16.7,10.6,5.2,74.0,16.9,3.3,4.1,1
16.2,11.2,5.8,71.4,16.9,3.3,4.1,1
14.4,4.2,11.9,42.1,16.9,3.3,4.1,0
14.7,14.0,5.7,62.0,16.9,3.3,4.1,0
21.7,5.9,2.0,163.0,16.9,3.3,4.1,1
15.0,7.2,7.8,66.7,16.9,3.3,4.1,1
15.8,12.1,12.8,63.4,16.9,3.3,4.1,0
17.7,6.4,14.9,68.5,16.9,3.3,4.1,1
16.0,12.8,6.8,67.1,16.9,3.3,4.1,0
16.2,11.6,5.4,81.3,16.9,3.3,4.1,0
17.1,9.0,14.6,107.5,16.9,3.3,4.1,0
15.7,4.5,8.0,108.5,16.9,3.3,4.1,1
16.7,4.7,11.3,102.1,16.9,3.3,4.1,0
16.3,11.2,5.0,98.5,16.9,3.3,4.1,1
16.2,10.8,16.8,68.4,16.9,3.3,4.1,0
15.5,5.7,10.6,74.9,16.9,3.3,4.1,1
16.0,14.3,5.6,80.5,16.9,3.3,4.1,0
15.7,5.4,8.8,91.0,16.9,3.3,4.1,1
16.4,6.2,7.9,80.2,16.9,3.3,4.1,1
20.4,8.1,12.2,94.1,16.9,3.3,4.1,0
15.8,3.3,6.1,148.0,16.9,3.3,4.1,1
19.4,5.1,10.2,91.5,16.9,3.3,4.1,0
17.8,4.1,6.7,119.1,16.9,3.3,4.1,1
20.3,7.6,4.8,145.6,16.9,3.3,4.1,1
15.9,8.9,12.9,79.0,16.9,3.3,4.1,0
19.9,6.6,2.4,134.2,16.9,3.3,4.1,1
19.4,7.4,5.3,101.5,16.9,3.3,4.1,0
21.2,14.7,11.2,90.3,16.9,3.3,4.1,0
18.4,0.0,2.0,89.4,16.9,3.3,4.1,1
18.0,8.4,21.0,87.5,16.9,3.3,4.1,1
20.6,11.5,8.8,100.7,16.9,3.3,4.1,0
18.7,5.1,5.7,110.2,16.9,3.3,4.1,1
18.2,6.9,9.8,113.1,16.9,3.3,4.1,1
17.4,9.0,3.3,102.6,16.9,3.3,4.1,1
19.6,8.6,5.7,164.2,16.9,3.3,4.1,1
20.6,5.2,8.4,108.5,16.9,3.3,4.1,1
20.2,6.6,3.2,142.1,16.9,3.3,4.1,1
20.7,8.2,4.5,116.0,16.9,3.3,4.1,0
18.3,5.7,6.0,142.8,16.9,3.3,4.1,1
18.4,6.3,13.7,103.6,16.9,3.3,4.1,1
19.2,4.6,11.7,109.2,16.9,3.3,4.1,1
20.0,5.1,5.2,191.2,16.9,3.3,4.1,0
